TSN,genus
111147,Xestonotus
111149,Anisodactylus
111185,Geopinus
111187,Amphasia
111190,Dicheirus
111196,Cratacanthus
111201,Euryderus
111203,Harpalus
111302,Hartonymus
111304,Harpalobrachys
111310,Trichotichnus
111314,Selenophorus
111369,Discoderus
111392,Stenomorphus
111396,Diplocheila
111405,Dicaelus
111418,Licinus
111420,Badister
111436,Chlaenius
111487,Oodes
111492,Stenocrepis
111505,Evolenes
111507,Dercylinus
111509,Panagaeus
111514,Micrixys
111516,Leptotrachelus
111520,Colliuris
111527,Pentagonica
111536,Tetragonoderus
111541,Masoreus
111544,Cymindis
111561,Apenes
111584,Phloeoxena
111588,Somotrichus
111590,Coptodera
111605,Infernophilus
111610,Eucaerus
111612,Euproctinus
111615,Cylindronotum
111617,Tecnophilus
111620,Plochionus
111625,Nemotarsus
111627,Lebia
111686,Dromius
111689,Apristus
111703,Axinopalpus
111715,Microlestes
111725,Pseudaptinus
111737,Zuphium
111743,Galerita
111755,Helluomorphoides
111765,Agra
111767,Pseudomorpha
111791,Brachinus
111854,Gynandropus
111858,Haliplus
111923,Peltodytes
111947,Brychius
111964,Anodocheilus
111966,Agabus
112068,Agabinus
112072,Agabetes
112074,Acilius
112081,Pachydrus
112086,Rhantus
112109,Thermonectus
112118,Dytiscus
112136,Celina
112145,Desmopachria
112153,Deronectes
112159,Derovatellus
112163,Eretes
112165,Graphoderus
112172,Hydaticus
112179,Hoperius
112181,Ilybius
112200,Hygrotus
112257,Hydrovatus
112268,Laccodytes
112270,Laccornis
112278,Laccophilus
112303,Matus
112308,Megadytes
112311,Neoscutopterus
112314,Oreodytes
112319,Bidessonotus
112322,Bidessus
112362,Brachyvatus
112364,Cybister
112371,Coptotomus
112379,Colymbetes
112390,Hydroporus
112561,Copelatus
112575,Uvarus
112580,Liodessus
112590,Neobidessus
112592,Deuteronectes
112595,Neoclypeodytes
112597,Hydrotrupes
112607,Suphisellus
112621,Notomicrus
112623,Hydrocanthus
112636,Suphis
112638,Mesonoterus
112640,Canthydrus
112654,Gyrinus
112706,Gyretes
112711,Dineutus
112735,Spanglerogyrus
112757,Hydraena
112768,Limnebius
112777,Ochthebius
112812,Berosus
112845,Chaetarthria
112858,Laccobius
112878,Anacaena
112890,Ametor
112893,Phaenonotum
112902,Pelosoma
112909,Paracymus
112931,Sperchopsis
112933,Sphaeridium
112938,Tropisternus
112973,Enochrus
113017,Cymbiodyta
113039,Cercyon
113087,Derallus
113091,Dactylosternum
113100,Cryptopleurum
113148,Helocombus
113150,Helochares
113152,Chasmogenus
113162,Helobata
113190,Hydrochara
113196,Hydrobius
113198,Hydramara
113204,Hydrophilus
113210,Megasternum
113216,Omicrus
113218,Bryobiota
113220,Crenitis
113234,Oosternum
113244,Hydrobiomorpha
113248,Oocyclus
113250,Phaenostoma
113252,Cyclotypus
113254,Heteryon
113258,Nitiduloides
113260,Deltostethus
113262,Cycrillum
113266,Liparocephalus
113269,Diaulota
113276,Amblopusa
113279,Thinusa
113282,Pontomalota
113292,Philonthus
113295,Piestus
113297,Thyreoxenus
113299,Xantholinus
113302,Belonuchus
113304,Bledius
113427,Cafius
113431,Homoeotarsus
113433,Oxytelus
113435,Perinthus
113438,Hadrotes
113440,Thinopinus
113442,Carpelimus
113564,Psephidonus
113576,Stenus
113756,Phytosus
113759,Bryothinusa
113761,Apharus
113763,Bythinoplectus
113765,Dalmonexus
113767,Euplectus
113769,Eurhexius
113771,Hamotus
113773,Neotyrus
113775,Thesium
113777,Thinobius
113811,Dasycerus
113827,Scaphidium
113925,Prionocyphon
113929,Scirtes
113939,Sarabandus
113941,Microcara
113943,Ora
113949,Contacyphon
113969,Elodes
113971,Sacodes
113988,Prionoscirtes
114095,Stenelmis
114126,Dubiraphia
114137,Lara
114142,Narpus
114146,Microcylloepus
114164,Cleptelmis
114167,Heterlimnius
114177,Optioservus
114193,Ancyronyx
114196,Ampumixis
114198,Rhizelmis
114200,Phanocerus
114205,Zaitzevia
114208,Cylloepus
114212,Macronychus
114216,Gonielmis
114223,Hexacylloepus
114232,Neoelmis
114235,Ordobrevia
114237,Heterelmis
114244,Oulimnius
114247,Limnius
114251,Atractelmis
114253,Neocylloepus
114255,Elmis
114258,Simsonia
114263,Neoheterocerus
114505,Acanthoscelides
114507,Bruchus
114510,Donacia
114541,Galerucella
114544,Neohaemonia
114546,Pyrrhalta
114564,Plateumaris
114577,Macroplea
114586,Entomoscelis
114588,Microtheca
114590,Prasocuris
114597,Gonioctena
114603,Miraces
114609,Yingaresca
114613,Agasicles
114615,Disonycha
114676,Phytobius
114677,Pnigodes
114681,Lissorhoptrus
114688,Lixellus
114690,Listronotus
114779,Bagous
114817,Chaetophloeus
114819,Rhynchophorus
114821,Emphyastes
114828,Cleonis
114838,Lixus
114871,Steremnius
114875,Auleutes
114890,Parenthis
114893,Platypus
114898,Hylurgopinus
114900,Alniphagus
114902,Conophthorus
114910,Dendroctonus
114925,Dryocoetes
114928,Hylastinus
114930,Hypocryphalus
114932,Hypothenemus
114936,Ips
114942,Phloeosinus
114944,Phloeotribus
114946,Scolytus
114954,Trypodendron
114956,Xylosandrus
115024,Chauliodes
115028,Nigronia
115033,Corydalus
115044,Orohermes
115046,Dysmicohermes
115048,Neohermes
115053,Protochauliodes
115060,Chloronia
115064,Platyneuromus
115086,Climacia
115090,Sisyra
115097,Rhyacophila
115221,Protoptila
115236,Culoptila
115243,Himalopsyche
115246,Matrioptila
